YEARLY_INCOME,CURRENT_SAVINGS_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_YEARLY_INCOME_RATIO,YEARLY_CLOTHING_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_CURRENT_DEBT_RATIO,YEARLY_EDUCATION_TO_YEARLY_INCOME_RATIO,YEARLY_EDUCATION_TO_CURRENT_SAVINGS_RATIO,YEARLY_EDUCATION_TO_CURRENT_DEBT_RATIO,YEARLY_ENTERTAINMENT_TO_YEARLY_INCOME_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_SAVINGS_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_DEBT_RATIO,YEARLY_LOAN_FINES_TO_YEARLY_INCOME_RATIO,YEARLY_LOAN_FINES_TO_CURRENT_SAVINGS_RATIO,YEARLY_LOAN_FINES_CURRENT_DEBT_RATIO,YEARLY_GAMBLING_TO_YEARLY_INCOME_RATIO,YEARLY_GAMBLING_TO_CURRENT_SAVINGS_RATIO,YEARLY_GAMBLING_TO_CURRENT_DEBT_RATIO,YEARLY_GROCERIES_TO_YEARLY_INCOME_RATIO,YEARLY_GROCERIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_GROCERIES_TO-CURRENT_DEBT_RATIO,YEARLY_HEALTH_TO_YEARLY_INCOME_RATIO,YEARLY_HEALTH__TO_CURRENT_SAVINGS_RATIO,YEARLY_HEALTH_TO_CURRENT_DEBT_RATIO,YEARLY_HOUSING_TO_YEARLY_INCOME_RATIO,YEARLY_HOUSING_TO_CURRENT_SAVINGS_RATIO,YEARLY_HOUSING_TO_CURRENT_DEBT_RATIO,YEARLY_TAX_TO_YEARLY_INCOME_RATIO,YEARLY_TAX_TO_CURRENT_SAVINGS_RATIO,YEARLY_TAX_TO_CURRENT_DEBT_RATIO,YEARLY_TRAVEL_TO_YEARLY_INCOME_RATIO,YEARLY_TRAVEL_TO_CURRENT_SAVINGS_RATIO,YEARLY_TRAVEL_TO_CURRENT_DEBT_RATIO,YEARLY_UTILITIES_TO_YEARLY_INCOME_RATIO,YEARLY_UTILITIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_UTILITIES_TO_CURRENT_DEBT_RATIO,YEARLY_EXPENDITURE_TO_YEARLY_INCOME_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_SAVINGS_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_DEBT_RATIO,CREDIT_SCORE
33269,0,16,1.2,0.0568,0,0.0035,0,0.1404,0,0.0922,0,0.0058,0,0.0026,0,0.0395,0,0.0025,0.1458,0,0.0091,0.0096,0.0055,0.0006,0.0904,0,0.0056,0,0.0276,0,0.5378,0,0.0336,0.028,0.0655,0.0017,1,0,0.0625,444
77158,1.1818,4.0909,3.4615,0.0754,0.0638,0.0184,0,0,0,0.2235,0.1891,0.0546,0,0,0,0,0,0,0.0677,0.0573,0.0166,0.0061,0.0051,0.0015,0.2118,0.1792,0.0518,0.0256,0.0216,0.0063,0.2622,0.2219,0.0641,0.0369,0.0312,0.009,0.9091,0.7692,0.2222,625
80657,0.8,7.8,9.7499,0.085,0.1063,0.0109,0.0546,0.0682,0.007,0.1667,0.2084,0.0214,0,0,0,0.0967,0.1208,0.0124,0.0564,0.0705,0.0072,0.0256,0.032,0.0033,0.1565,0.1956,0.0201,0.0208,0.026,0.0027,0.3104,0.388,0.0398,0.0274,0.0342,0.0035,1,1.25,0.1282,559
149971,7.8182,16,2.0465,0.0132,0.0017,0.0008,0,0,0,0.0346,0.0044,0.0022,0,0,0,0.0116,0.0015,0.0007,0.2321,0.0297,0.0145,0.0501,0.0064,0.0031,0.2844,0.0364,0.0178,0.0263,0.0034,0.0016,0.1878,0.024,0.0117,0.0689,0.0088,0.0043,0.9091,0.1163,0.0568,473
181636,1.8667,9.3334,5,0.063,0.0338,0.0068,0.0313,0.0168,0.0034,0.1202,0.0644,0.0129,0,0,0,0,0,0,0.1364,0.0731,0.0146,0.0409,0.0219,0.0044,0.1687,0.0904,0.0181,0.0434,0.0233,0.0047,0,0,0,0.0627,0.0336,0.0067,0.6667,0.3571,0.0714,596
220838,0.8462,10.0769,11.9091,0.0198,0.0235,0.002,0,0,0,0.1623,0.1918,0.0161,0,0,0,0,0,0,0.1274,0.1505,0.0126,0.0402,0.0475,0.004,0,0,0,0.0525,0.062,0.0052,0.283,0.3344,0.0281,0.084,0.0993,0.0083,0.7692,0.9091,0.0763,596
78615,0.8,1.4,1.75,0.0752,0.094,0.0537,0,0,0,0.3044,0.3805,0.2174,0,0,0,0.149,0.1863,0.1065,0.1021,0.1276,0.0729,0.0355,0.0444,0.0254,0.2555,0.3194,0.1825,0.0339,0.0424,0.0242,0,0,0,0.0443,0.0554,0.0316,1,1.25,0.7143,638
174000,8.6364,2.3636,0.2737,0.0163,0.0019,0.0069,0,0,0,0.0499,0.0058,0.0211,0,0,0,0.013,0.0015,0.0055,0.2637,0.0305,0.1116,0.0345,0.004,0.0146,0.2966,0.0343,0.1255,0.0249,0.0029,0.0105,0.1385,0.016,0.0586,0.0717,0.0083,0.0303,0.9091,0.1053,0.3846,636
193225,7.3,13.4,1.8356,0.0273,0.0037,0.002,0.1727,0.0237,0.0129,0.0634,0.0087,0.0047,0,0,0,0,0,0,0.3302,0.0452,0.0246,0.0498,0.0068,0.0037,0,0,0,0.0385,0.0053,0.0029,0.2254,0.0309,0.0168,0.0926,0.0127,0.0069,1,0.137,0.0746,552
98937,0.9,7.5,8.3334,0.091,0.1011,0.0121,0.051,0.0567,0.0068,0.2052,0.228,0.0274,0,0,0,0.093,0.1033,0.0124,0.0527,0.0585,0.007,0.0214,0.0238,0.0029,0.1466,0.1629,0.0195,0.0212,0.0236,0.0028,0.2924,0.3249,0.039,0.0255,0.0283,0.0034,1,1.1111,0.1333,538
14291,14.5,1.4,0.0965,0.1181,0.0081,0.0844,0,0,0,0.253,0.0175,0.1807,0,0,0,0,0,0,0.31,0.0214,0.2214,0.1911,0.0132,0.1365,0,0,0,0.0113,0.0008,0.008,0,0,0,0.1165,0.008,0.0832,1,0.069,0.7143,624
166965,2.4,4.0667,1.6944,0.0359,0.015,0.0088,0.0214,0.0089,0.0053,0.0811,0.0338,0.0199,0,0,0,0.039,0.0163,0.0096,0.0885,0.0369,0.0218,0.021,0.0087,0.0052,0,0,0,0.0326,0.0136,0.008,0.3045,0.1269,0.0749,0.0427,0.0178,0.0105,0.6667,0.2778,0.1639,582
209348,1,5.1818,5.1818,0.0809,0.0809,0.0156,0.0429,0.0429,0.0083,0.1298,0.1298,0.025,0,0,0,0,0,0,0.0474,0.0474,0.0091,0.0184,0.0184,0.0035,0.1229,0.1229,0.0237,0.0163,0.0163,0.0031,0.4291,0.4291,0.0828,0.0214,0.0214,0.0041,0.9091,0.9091,0.1754,602
82618,10.4,1.6,0.1538,0.0242,0.0023,0.0151,0,0,0,0.1134,0.0109,0.0709,0,0,0,0,0,0,0.1541,0.0148,0.0963,0.1102,0.0106,0.0689,0,0,0,0.0057,0.0005,0.0035,0.5403,0.052,0.3377,0.0521,0.005,0.0326,1,0.0962,0.625,636
56930,7.111,1,0.1406,0.034,0.0048,0.034,0,0,0,0.1223,0.0172,0.1223,0,0,0,0.0108,0.0015,0.0108,0.1485,0.0209,0.1485,0.0504,0.0071,0.0504,0.2526,0.0355,0.2526,0.0067,0.0009,0.0067,0.4295,0.0604,0.4295,0.0562,0.0079,0.0562,1.1111,0.1562,1.1111,651
35512,0.5,7.7,15.4,0.1518,0.3037,0.0197,0.1041,0.2082,0.0135,0.3164,0.6328,0.0411,0,0,0,0.1866,0.3732,0.0242,0.1143,0.2285,0.0148,0.0351,0.0702,0.0046,0,0,0,0.0398,0.0796,0.0052,0,0,0,0.0519,0.1038,0.0067,1,2,0.1299,548
0,5.2158,9.2061,1,0.0716,0,0,0.0276,0,0,0.2572,0,0,0,0,0,0.038,0.0092,0.0092,0.11,0.0151,0.0151,0.059,0.0031,0.0031,0.1042,0,0,0.0112,0,0,0.6624,0.2283,0.2283,0.0575,0.0075,0.0075,1.0628,0.2632,0.2632,576
25301,9.1819,0.9091,0.099,0.0447,0.0049,0.0491,0,0,0,0.107,0.0116,0.1176,0,0,0,0,0,0,0.1517,0.0165,0.1669,0.0496,0.0054,0.0546,0.2213,0.0241,0.2435,0.0052,0.0006,0.0057,0.2804,0.0305,0.3085,0.0491,0.0054,0.054,0.9091,0.099,1,593
378893,1.6429,5.2143,3.1739,0.06,0.0365,0.0115,0.0222,0.0135,0.0042,0.0844,0.0514,0.0162,0,0,0,0,0,0,0.0911,0.0554,0.0175,0.0318,0.0193,0.0061,0,0,0,0.0367,0.0223,0.007,0.3443,0.2096,0.066,0.044,0.0268,0.0084,0.7143,0.4348,0.137,563
